label,TYPE_ACCELEROMETER_X(Mean),TYPE_ACCELEROMETER_Y(Mean),TYPE_ACCELEROMETER_Z(Mean),TYPE_GYROSCOPE_X(Mean),TYPE_GYROSCOPE_Y(Mean),TYPE_GYROSCOPE_Z(Mean),TYPE_ACCELEROMETER_X(S.D),TYPE_ACCELEROMETER_Y(S.D),TYPE_ACCELEROMETER_Z(S.D),TYPE_GYROSCOPE_X(S.D),TYPE_GYROSCOPE_Y(S.D),TYPE_GYROSCOPE_Z(S.D),TYPE_ACCELEROMETER_X(Varience),TYPE_ACCELEROMETER_Y(Varience),TYPE_ACCELEROMETER_Z(Varience),TYPE_GYROSCOPE_X(Varience),TYPE_GYROSCOPE_Y(Varience),TYPE_GYROSCOPE_Z(Varience)
walking,-0.47564697054,9.81905456219,-0.41842407004,-0.02327880925,-0.02594909762,-0.11060638218,2.86535420108143,5.44235472653477,4.38201307146681,1.37726019562945,1.00127159721282,1.27576697019755,8.21025469765501,29.6192249694353,19.202038558506,1.89684564646527,1.00254481138511,1.62758136224704
walking,-0.56181640054,9.9238563412,-0.32330443764,-0.0532608036,0.02213744944,-0.1067718525,3.00165937795196,5.47345321235673,4.25068975438953,1.43355113881234,1.13131943070603,1.29910737958957,9.00995902124695,29.9586900678582,18.0683633880721,2.05506886759015,1.27988365429302,1.68767998370408
walking,-0.36888732786,9.6686983962,-0.24258008236,-0.0794189474,-0.03487853995,-0.1158401533,3.12748362812537,5.86483469030347,4.54315187401723,1.49184905077234,1.266971698126,1.35912134131854,9.78115384419225,34.396285944587,20.6402289503863,2.22561359029033,1.60521728385228,1.8472108204275
walking,-0.1669842527,9.5221449204,-0.19644851474,-0.06130371227,-0.08486633269,-0.09340973336,3.24596493230643,5.94916439365138,4.84190611664088,1.49670596428545,1.29850614499367,1.37286831295232,10.5362883417631,35.3925569826894,23.4440548423643,2.24012874352764,1.68611820858633,1.88476740470855
walking,-0.1548205532,9.69048478695,-0.07193131434,-0.10260772727,-0.03943939226,-0.08493957691,3.21503840390706,5.97193890315114,4.51106016801712,1.48951741125522,1.25991736602608,1.36538642947128,10.3364719385973,35.66405426297,20.3496638394707,2.21866211843245,1.5873917692141,1.86428010178433
walking,-0.2176147523,9.81072925145,-0.08721327995,-0.10587615958,0.00235595492,-0.06265869055,3.20423127213899,5.89740366236022,4.41732382498225,1.46932780674393,1.27720487462073,1.34950692522414,10.2670980453534,34.7793699568197,19.5127497747558,2.15892420367092,1.63125229175495,1.82116894122792
walking,-0.25872376374,9.7364199984,-0.0197119127,-0.07815856902,-0.08636169818,-0.06532897835,3.31638509011378,5.69830695119108,4.13953150879179,1.49973281640202,1.38519429550879,1.35450785938542,10.998410065929,32.4707021099925,17.13572111228,2.24919852059314,1.91876323631009,1.83469154113688
walking,-0.14065735218,9.4481451355,0.08592894842,-0.07080993643,-0.13451233084,-0.09563140875,3.17609639120234,5.82463933995409,3.87762455262981,1.54649769166471,1.31628168880781,1.35487237046911,10.0875882862085,33.9264234405409,15.0359721711575,2.39165511032428,1.73259748429075,1.83567914026057
walking,0.12428390061,9.204460589,0.00855499107,-0.05646514774,-0.11414337007,-0.1223983774,3.06683079100137,6.26468668743685,4.21333829779916,1.51738834398351,1.22569405596323,1.28144916845245,9.40545110063411,39.2462992917485,17.7522196117011,2.302467386457,1.50232591882359,1.64211197132747
walking,0.21699935425,9.5684371402,-0.0605709817,-0.04851837122,-0.14450988857,-0.13649749948,3.03227495692032,6.2194872753748,4.37593220107176,1.48649024763185,1.28808806810813,1.24995370584331,9.19469141436616,38.682021968549,19.1487826283767,2.2096532563046,1.65917087120254,1.56238426675143
walking,0.0195416259,9.9771468667,-0.19005126922,-0.02668609557,-0.0838409427,-0.10943145948,3.22952341694836,5.89886272403603,4.66149017100668,1.50934507583179,1.2590705410846,1.30494796296013,10.4298215006178,34.7965814370218,21.7294906143918,2.27812255793769,1.58525862742707,1.70288918603379
