label,TYPE_ACCELEROMETER_X(Mean),TYPE_ACCELEROMETER_Y(Mean),TYPE_ACCELEROMETER_Z(Mean),TYPE_GYROSCOPE_X(Mean),TYPE_GYROSCOPE_Y(Mean),TYPE_GYROSCOPE_Z(Mean),TYPE_ACCELEROMETER_X(S.D),TYPE_ACCELEROMETER_Y(S.D),TYPE_ACCELEROMETER_Z(S.D),TYPE_GYROSCOPE_X(S.D),TYPE_GYROSCOPE_Y(S.D),TYPE_GYROSCOPE_Z(S.D),TYPE_ACCELEROMETER_X(varience),TYPE_ACCELEROMETER_Y(varience),TYPE_ACCELEROMETER_Z(varience),TYPE_GYROSCOPE_X(varience),TYPE_GYROSCOPE_Y(varience),TYPE_GYROSCOPE_Z(varience)
walking,2.99812378354,9.8274751285,-0.0207830603,-0.10749053717,-0.14891509846,-0.12752685282,3.30337568966617,5.39396365051369,5.99845908859813,2.16829699119957,2.17436709209311,0.697446407641862,10.9122909470775,29.094843863063,35.9815114375855,4.7015118420451,4.72787225117743,0.486431491532538
walking,3.04813537555,9.677678381,-0.2862896667,-0.09341277668,-0.09990997446,-0.14223480493,3.11131665060577,5.37277904473219,5.34807244198685,2.12438166467165,1.951137673725,0.720408500132205,9.68029130033672,28.8667546635133,28.6018788447392,4.51299745719311,3.80693822182902,0.518988407062733
walking,2.86175231817,9.4904681402,-0.14265808276,-0.11723174489,-0.07800293076,-0.16028595026,2.8104845424394,5.18033458837625,5.19799242617663,2.03829032749122,1.76078042084252,0.758148397621419,7.89882336329078,26.8358664475274,27.0191252625896,4.15462745914427,3.10034769042238,0.574788992815925
walking,2.7649426308,9.2657967985,-0.06263001241,-0.19303588114,-0.114863588,-0.12758026291,2.8785141979337,5.32677086552178,5.76324453787111,2.04771513978923,1.73931058306086,0.685905148897927,8.28584398770587,28.3744878537717,33.2149876033012,4.19313729372203,3.0252013043475,0.470465873284688
walking,2.9006475791,9.0498971365,-0.20833252975,-0.17243194338,-0.06142578343,-0.10114441129,3.09519868762126,5.36586349080356,5.87267650541385,2.08873196049437,1.89198190726076,0.667342750008942,9.5802549158524,28.7924910019386,34.4883293372398,4.36280120279065,3.57959553740207,0.445346345989497
walking,3.05027769716,9.104496899,-0.171317761,-0.07849121286,-0.06011200207,-0.14124145682,2.94687151828437,5.08179250940382,5.57338655131066,2.14861639356637,1.92488465936323,0.698333471586147,8.68405174527563,25.8246151086328,31.0626376503306,4.61655240670217,3.70518095185191,0.48766963753756
walking,3.09821837176,9.2569001804,-0.0980975318,0.04295349206,-0.02241821274,-0.20780639871,2.74487968140742,5.24965921277089,5.49265931952119,2.16857903042494,1.8495363290076,0.702721895650653,7.5343644654033,27.5589218502303,30.1693064003229,4.70273501119876,3.4207846323189,0.493818062626848
walking,3.06053711429,9.4722404494,-0.1703893915,0.11124878084,0.08219299462,-0.17253723101,2.81249599605536,5.38442439223722,5.49119910482318,2.09966544368817,1.8594051847576,0.688142154318456,7.91013372782744,28.9920260357191,30.1532676088109,4.40859497541825,3.45738764110344,0.473539624550046
walking,2.89660095418,9.5792738415,-0.1135937408,0.14684906062,0.05412292432,-0.12223968382,3.04025112060265,5.63002319743957,5.53778942746045,2.08050766229812,1.79953439252789,0.657057723830892,9.2431268763257,31.6971612037077,30.6671117428927,4.32851213288119,3.23832402989071,0.431724852445833
walking,2.89138792973,9.2330845955,-0.3935015955,0.1964630124,0.06163177394,-0.1690338136,2.98345703442078,5.69936243121014,5.27216912080413,2.05061152761445,1.67225073124134,0.614868261649283,8.90101587623486,32.4827321222896,27.7957672383606,4.20500763718527,2.79642250813721,0.378062979183611
walking,2.8541589227,9.424769912,-0.70778197965,0.20937652183,0.1405654928,-0.1888259897,2.7092374181751,5.28549256612194,4.95975252525078,1.99069519187104,1.75457399690924,0.608979863532562,7.33996738804007,27.9364316665302,24.5991451117314,3.96286734693846,3.07852991063005,0.370856474188138
